FilePath	IFD0:ImageDescription	XMP-iptcExt:ArtworkContentDescription	XMP-iptcExt:PersonInImage	XMP-dc:Subject	XMP-dc:Description	XMP-dc:Creator	XMP-photoshop:CaptionWriter	XMP-photoshop:City	XMP-photoshop:State	XMP-photoshop:Country	XMP-iptcCore:Location	XMP-iptcCore:CountryCode	XMP-iptcCore:SubjectCode	XMP-iptcCore:ExtDescrAccessibility	XMP-lr:HierarchicalSubject	IPTC:CodedCharacterSet	IPTC:ApplicationRecordVersion	IPTC:Keywords	IPTC:City	IPTC:Sub-location	IPTC:Province-State	IPTC:Country-PrimaryLocationCode	IPTC:Country-PrimaryLocationName	IPTC:Caption-Abstract	IPTC:Writer-Editor
Photo Albums\England_1983_B02_Archive\England_1983_B02_P19_S01.tif					England (1983) - Book 02, Page 19, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P20_S01.tif					England (1983) - Book 02, Page 20, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P21_S01.tif					England (1983) - Book 02, Page 21, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P22_S01.tif					England (1983) - Book 02, Page 22, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P23_S01.tif					England (1983) - Book 02, Page 23, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P24_S01.tif					England (1983) - Book 02, Page 24, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P25_S01.tif					England (1983) - Book 02, Page 25, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P26_S01.tif					England (1983) - Book 02, Page 26, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P27_S01.tif					England (1983) - Book 02, Page 27, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P28_S01.tif					England (1983) - Book 02, Page 28, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P29_S01.tif					England (1983) - Book 02, Page 29, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P30_S01.tif					England (1983) - Book 02, Page 30, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P31_S01.tif					England (1983) - Book 02, Page 31, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P32_S01.tif					England (1983) - Book 02, Page 32, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P33_S01.tif					England (1983) - Book 02, Page 33, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P34_S01.tif					England (1983) - Book 02, Page 34, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P35_S01.tif					England (1983) - Book 02, Page 35, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P36_S01.tif					England (1983) - Book 02, Page 36, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P37_S01.tif					England (1983) - Book 02, Page 37, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P38_S01.tif					England (1983) - Book 02, Page 38, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P39_S01.tif					England (1983) - Book 02, Page 39, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P40_S01.tif					England (1983) - Book 02, Page 40, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P41_S01.tif					England (1983) - Book 02, Page 41, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P42_S01.tif					England (1983) - Book 02, Page 42, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P43_S01.tif					England (1983) - Book 02, Page 43, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P44_S01.tif					England (1983) - Book 02, Page 44, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P45_S01.tif					England (1983) - Book 02, Page 45, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P46_S01.tif					England (1983) - Book 02, Page 46, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P47_S01.tif					England (1983) - Book 02, Page 47, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P48_S01.tif					England (1983) - Book 02, Page 48, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P49_S01.tif					England (1983) - Book 02, Page 49, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P50_S01.tif					England (1983) - Book 02, Page 50, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P51_S01.tif					England (1983) - Book 02, Page 51, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P52_S01.tif					England (1983) - Book 02, Page 52, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P53_S01.tif					England (1983) - Book 02, Page 53, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P54_S01.tif					England (1983) - Book 02, Page 54, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P55_S01.tif					England (1983) - Book 02, Page 55, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P56_S01.tif					England (1983) - Book 02, Page 56, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P57_S01.tif					England (1983) - Book 02, Page 57, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P58_S01.tif					England (1983) - Book 02, Page 58, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P59_D01_01.tif		PERITH - ENGLAND  A CAMP SITE IN THE PINES			England (1983) - Book 02, Page 59, Derived D01_01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P59_S01.tif					England (1983) - Book 02, Page 59, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P60_S01.tif					England (1983) - Book 02, Page 60, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P61_S01.tif					England (1983) - Book 02, Page 61, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P62_S01.tif					England (1983) - Book 02, Page 62, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P63_S01.tif					England (1983) - Book 02, Page 63, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P64_D01_01.tif		JOE-AUDREY-LAURA-LESLIE SKELMEARSDALE			England (1983) - Book 02, Page 64, Derived D01_01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P64_S01.tif					England (1983) - Book 02, Page 64, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P65_S01.tif					England (1983) - Book 02, Page 65, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P66_S01.tif					England (1983) - Book 02, Page 66, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P67_S01.tif					England (1983) - Book 02, Page 67, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P68_S01.tif					England (1983) - Book 02, Page 68, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P69_S01.tif					England (1983) - Book 02, Page 69, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P70_S01.tif					England (1983) - Book 02, Page 70, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P71_S01.tif					England (1983) - Book 02, Page 71, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P72_S01.tif					England (1983) - Book 02, Page 72, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P73_S01.tif					England (1983) - Book 02, Page 73, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P74_S01.tif					England (1983) - Book 02, Page 74, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P75_S01.tif					England (1983) - Book 02, Page 75, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P76_S01.tif					England (1983) - Book 02, Page 76, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P77_S01.tif					England (1983) - Book 02, Page 77, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P78_S01.tif					England (1983) - Book 02, Page 78, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P79_S01.tif					England (1983) - Book 02, Page 79, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P80_S01.tif					England (1983) - Book 02, Page 80, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P81_S01.tif					England (1983) - Book 02, Page 81, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P82_S01.tif					England (1983) - Book 02, Page 82, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P83_S01.tif					England (1983) - Book 02, Page 83, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P84_S01.tif					England (1983) - Book 02, Page 84, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P85_S01.tif					England (1983) - Book 02, Page 85, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P86_S01.tif					England (1983) - Book 02, Page 86, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P87_S01.tif					England (1983) - Book 02, Page 87, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P88_D01_01.tif		OUR LAST CAMP SITE  CRYSTAL PALACE  JUST OUTSIDE OF LONDON			England (1983) - Book 02, Page 88, Derived D01_01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P88_S01.tif					England (1983) - Book 02, Page 88, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P89_S01.tif					England (1983) - Book 02, Page 89, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P90_D01_01.tif					England (1983) - Book 02, Page 90, Derived D01_01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\England_1983_B02_Archive\England_1983_B02_P90_S01.tif					England (1983) - Book 02, Page 90, Scan S01 of 1 total	Audrey D. Cordell												"[""England""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P01_D01_01.jpg					Europe (1973) - Book 00, Page 01, Derived D01_01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P01_D01_02.jpg					Europe (1973) - Book 00, Page 01, Derived D01_02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P01_S01.tif					Europe (1973) - Book 00, Page 01, Scan S01 of 1 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P02_S01.tif					Europe (1973) - Book 00, Page 02, Scan S01 of 1 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P03_S01.tif					Europe (1973) - Book 00, Page 03, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P03_S02.tif					Europe (1973) - Book 00, Page 03, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P04_S01.tif					Europe (1973) - Book 00, Page 04, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P04_S02.tif					Europe (1973) - Book 00, Page 04, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P05_S01.tif					Europe (1973) - Book 00, Page 05, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P05_S02.tif					Europe (1973) - Book 00, Page 05, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P06_S01.tif					Europe (1973) - Book 00, Page 06, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P06_S02.tif					Europe (1973) - Book 00, Page 06, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P07_S01.tif					Europe (1973) - Book 00, Page 07, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P07_S02.tif					Europe (1973) - Book 00, Page 07, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P08_S01.tif					Europe (1973) - Book 00, Page 08, Scan S01 of 3 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P08_S02.tif					Europe (1973) - Book 00, Page 08, Scan S02 of 3 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P08_S03.tif					Europe (1973) - Book 00, Page 08, Scan S03 of 3 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P09_S01.tif					Europe (1973) - Book 00, Page 09, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P09_S02.tif					Europe (1973) - Book 00, Page 09, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P10_S01.tif					Europe (1973) - Book 00, Page 10, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P10_S02.tif					Europe (1973) - Book 00, Page 10, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P11_S01.tif					Europe (1973) - Book 00, Page 11, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P11_S02.tif					Europe (1973) - Book 00, Page 11, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P12_S01.tif					Europe (1973) - Book 00, Page 12, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P12_S02.tif					Europe (1973) - Book 00, Page 12, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P13_S01.tif					Europe (1973) - Book 00, Page 13, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P13_S02.tif					Europe (1973) - Book 00, Page 13, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P14_S01.tif					Europe (1973) - Book 00, Page 14, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P14_S02.tif					Europe (1973) - Book 00, Page 14, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P15_S01.tif					Europe (1973) - Book 00, Page 15, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P15_S02.tif					Europe (1973) - Book 00, Page 15, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P16_S01.tif					Europe (1973) - Book 00, Page 16, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P16_S02.tif					Europe (1973) - Book 00, Page 16, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P17_S01.tif					Europe (1973) - Book 00, Page 17, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P17_S02.tif					Europe (1973) - Book 00, Page 17, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P18_S01.tif					Europe (1973) - Book 00, Page 18, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P18_S02.tif					Europe (1973) - Book 00, Page 18, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P19_S01.tif					Europe (1973) - Book 00, Page 19, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P19_S02.tif					Europe (1973) - Book 00, Page 19, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P20_S01.tif					Europe (1973) - Book 00, Page 20, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P20_S02.tif					Europe (1973) - Book 00, Page 20, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P21_S01.tif					Europe (1973) - Book 00, Page 21, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1973_B00_Archive\Europe_1973_B00_P21_S02.tif					Europe (1973) - Book 00, Page 21, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1975_B00_Archive\Europe_1973_B00_P22_S01.tif					Europe (1973) - Book 00, Page 22, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1975_B00_Archive\Europe_1973_B00_P22_S02.tif					Europe (1973) - Book 00, Page 22, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1975_B00_Archive\Europe_1973_B00_P23_S01.tif					Europe (1973) - Book 00, Page 23, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1975_B00_Archive\Europe_1973_B00_P23_S02.tif					Europe (1973) - Book 00, Page 23, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P01_D01_01.jpg					Europe (1985) - Book 01, Page 01, Derived D01_01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P01_D01_02.jpg					Europe (1985) - Book 01, Page 01, Derived D01_02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P01_S01.tif					Europe (1985) - Book 01, Page 01, Scan S01 of 1 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P02_S01.tif					Europe (1985) - Book 01, Page 02, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P02_S02.tif					Europe (1985) - Book 01, Page 02, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P03_S01.tif					Europe (1985) - Book 01, Page 03, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P03_S02.tif					Europe (1985) - Book 01, Page 03, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P04_S01.tif					Europe (1985) - Book 01, Page 04, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P04_S02.tif					Europe (1985) - Book 01, Page 04, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P05_S01.tif					Europe (1985) - Book 01, Page 05, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P05_S02.tif					Europe (1985) - Book 01, Page 05, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P06_S01.tif					Europe (1985) - Book 01, Page 06, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P06_S02.tif					Europe (1985) - Book 01, Page 06, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P07_S01.tif					Europe (1985) - Book 01, Page 07, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P07_S02.tif					Europe (1985) - Book 01, Page 07, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P08_S01.tif					Europe (1985) - Book 01, Page 08, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P08_S02.tif					Europe (1985) - Book 01, Page 08, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P09_S01.tif					Europe (1985) - Book 01, Page 09, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P09_S02.tif					Europe (1985) - Book 01, Page 09, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P10_S01.tif					Europe (1985) - Book 01, Page 10, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P10_S02.tif					Europe (1985) - Book 01, Page 10, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P11_S01.tif					Europe (1985) - Book 01, Page 11, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P11_S02.tif					Europe (1985) - Book 01, Page 11, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P12_S01.tif					Europe (1985) - Book 01, Page 12, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P12_S02.tif					Europe (1985) - Book 01, Page 12, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P13_S01.tif					Europe (1985) - Book 01, Page 13, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P13_S02.tif					Europe (1985) - Book 01, Page 13, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P14_S01.tif					Europe (1985) - Book 01, Page 14, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P14_S02.tif					Europe (1985) - Book 01, Page 14, Scan S02 of 2 total	Audrey D. Cordell												"[""Europe""]"							
Photo Albums\Europe_1985_B01_Archive\Europe_1985_B01_P15_S01.tif					Europe (1985) - Book 01, Page 15, Scan S01 of 2 total	Audrey D. Cordell												"[""Europe""]"							
