FilePath	IFD0:ImageDescription	XMP-iptcExt:ArtworkContentDescription	XMP-iptcExt:PersonInImage	XMP-dc:Subject	XMP-dc:Description	XMP-dc:Creator	XMP-photoshop:CaptionWriter	XMP-photoshop:City	XMP-photoshop:State	XMP-photoshop:Country	XMP-iptcCore:Location	XMP-iptcCore:CountryCode	XMP-iptcCore:SubjectCode	XMP-iptcCore:ExtDescrAccessibility	XMP-lr:HierarchicalSubject	IPTC:CodedCharacterSet	IPTC:ApplicationRecordVersion	IPTC:Keywords	IPTC:City	IPTC:Sub-location	IPTC:Province-State	IPTC:Country-PrimaryLocationCode	IPTC:Country-PrimaryLocationName	IPTC:Caption-Abstract	IPTC:Writer-Editor
Photo Albums\China_1986_B02_Archive\China_1986_B02_P17_S01.tif					China (1986) - Book 02, Page 17, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P17_S02.tif					China (1986) - Book 02, Page 17, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P18_S01.tif					China (1986) - Book 02, Page 18, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P18_S02.tif					China (1986) - Book 02, Page 18, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P19_S01.tif					China (1986) - Book 02, Page 19, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P19_S02.tif					China (1986) - Book 02, Page 19, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P20_S01.tif					China (1986) - Book 02, Page 20, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P20_S02.tif					China (1986) - Book 02, Page 20, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P21_D01_01.jpg					China (1986) - Book 02, Page 21, Derived D01_01 of 1 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P21_S01.tif					China (1986) - Book 02, Page 21, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P21_S02.tif					China (1986) - Book 02, Page 21, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P22_D01_01.jpg					China (1986) - Book 02, Page 22, Derived D01_01 of 1 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P22_S01.tif					China (1986) - Book 02, Page 22, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P22_S02.tif					China (1986) - Book 02, Page 22, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P23_S01.tif					China (1986) - Book 02, Page 23, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P23_S02.tif					China (1986) - Book 02, Page 23, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P24_S01.tif					China (1986) - Book 02, Page 24, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P24_S02.tif					China (1986) - Book 02, Page 24, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P25_D01_01.jpg					China (1986) - Book 02, Page 25, Derived D01_01 of 1 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P25_S01.tif					China (1986) - Book 02, Page 25, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P25_S02.tif					China (1986) - Book 02, Page 25, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P26_S01.tif					China (1986) - Book 02, Page 26, Scan S01 of 3 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P26_S02.tif					China (1986) - Book 02, Page 26, Scan S02 of 3 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P26_S03.tif					China (1986) - Book 02, Page 26, Scan S03 of 3 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P27_S01.tif					China (1986) - Book 02, Page 27, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P27_S02.tif					China (1986) - Book 02, Page 27, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P28_D01_01.jpg					China (1986) - Book 02, Page 28, Derived D01_01 of 1 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P28_S01.tif					China (1986) - Book 02, Page 28, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P28_S02.tif					China (1986) - Book 02, Page 28, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P29_D01_01.jpg					China (1986) - Book 02, Page 29, Derived D01_01 of 1 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P29_D01_01.png					China (1986) - Book 02, Page 29, Derived D01_01 of 1 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P29_S01.tif					China (1986) - Book 02, Page 29, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P29_S02.tif					China (1986) - Book 02, Page 29, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P30_S01.tif					China (1986) - Book 02, Page 30, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P30_S02.tif					China (1986) - Book 02, Page 30, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P31_S01.tif					China (1986) - Book 02, Page 31, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P31_S02.tif					China (1986) - Book 02, Page 31, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
