__chapter_index	ffmeta_author	ffmeta_title	TIMEBASE	START	END	title	creation_time	location	transcript
1	Lorena Wellington	Bennett 15 Archive (Compact Cassette Tape)	1/1	6	31	1982 - Wedding of Terry & Glenda - 01 Intro by Lorena Wellington (July 11, 1982)	1982-07-11T14:00:00-07:00	/The Immaculata Church at the University of San Diego	
2	Lorena Wellington	Bennett 15 Archive (Compact Cassette Tape)	1/1	95	365	1982 - Wedding of Terry & Glenda - 02 Milling about before the wedding (July 11, 1982)	1982-07-11T14:00:00-07:00	/The Immaculata Church at the University of San Diego	
3	Lorena Wellington	Bennett 15 Archive (Compact Cassette Tape)	1/1	367	954	1982 - Wedding of Terry & Glenda - 03 Wedding Ceremony (July 11, 1982)	1982-07-11T14:00:00-07:00	/The Immaculata Church at the University of San Diego	
4	Lorena Wellington	Bennett 15 Archive (Compact Cassette Tape)	1/1	955	1628	1982 - Wedding of Terry & Glenda - 04 Reception (July 11, 1982)	1982-07-11T14:00:00-07:00	/The Immaculata Church at the University of San Diego	
